FID	IID	CB1908_IC50
1001	1001	6.927465594
1002	1002	11.88728968
1003	1003	12.18924303
1004	1004	11.95346787
1005	1005	8.836499122
1006	1006	8.153960118
1007	1007	10.23771873
1008	1008	9.354080993
1009	1009	9.596693723
1010	1010	6.272276985
1011	1011	9.962993694
1012	1012	6.355427097
1013	1013	6.191365418
1014	1014	8.115864905
1015	1015	7.637110778
1016	1016	6.799138511
1017	1017	8.344191918
1018	1018	3.345458436
1019	1019	7.97508359
1020	1020	NA
1021	1021	7.032349489
1022	1022	5.751398414
1023	1023	6.7394316
1024	1024	5.790128517
1025	1025	7.134384401
1026	1026	6.879968695
1027	1027	5.442729589
1028	1028	6.442158785
1029	1029	6.21293642
1030	1030	12.59583597
1031	1031	10.96563817
1032	1032	7.118429984
1033	1033	5.932350589
1034	1034	10.92404283
1035	1035	8.618631976
1036	1036	10.91598423
1037	1037	6.160189195
1038	1038	9.146633095
1039	1039	10.32013623
1040	1040	9.252982231
1041	1041	7.325145319
1042	1042	NA
1043	1043	8.765233418
1044	1044	10.32392128
1045	1045	9.40357222
1046	1046	7.778176975
1047	1047	11.07849929
1048	1048	5.604878388
1049	1049	10.97003384
1050	1050	6.977852204
1051	1051	5.385953112
1052	1052	9.314439199
1053	1053	11.69534853
1054	1054	8.352128396
1055	1055	13.02082541
1056	1056	6.711429987
1057	1057	8.493642288
1058	1058	10.15762111
1059	1059	4.003030729
1060	1060	10.7320202
1061	1061	5.332106996
1062	1062	6.925389915
1063	1063	7.987904089
1064	1064	11.04614282
1065	1065	8.726731202
1066	1066	7.045170006
1067	1067	9.665069726
1068	1068	8.702962383
1069	1069	8.128685384
1070	1070	13.00120799
1071	1071	9.104386476
1072	1072	8.890182408
1073	1073	7.036989305
1074	1074	3.74476444
1075	1075	6.877282508
1076	1076	5.470202082
1077	1077	7.726121688
1078	1078	5.222070485
1079	1079	8.036866182
1080	1080	6.77032289
1081	1081	6.124536008
1082	1082	7.77654899
1083	1083	9.485704792
1084	1084	9.859208699
1085	1085	6.126245409
1086	1086	10.29302999
1087	1087	5.228566207
1088	1088	5.824170016
1089	1089	7.062508215
1090	1090	7.108173621
1091	1091	9.214520671
1092	1092	5.882411704
1093	1093	7.024901421
1094	1094	7.978502393
1095	1095	5.083877685
1096	1096	4.859545101
1097	1097	7.9357674
1098	1098	3.002607025
1099	1099	7.900907825
1100	1100	5.199353767
1101	1101	5.838089388
1102	1102	4.655031984
1103	1103	4.381403459
1104	1104	6.871879556
1105	1105	3.471881146
1106	1106	6.688271722
1107	1107	5.290562466
1108	1108	5.05915244
1109	1109	3.151105289
1110	1110	7.921786943
1111	1111	3.9933506
1112	1112	6.323949734
1113	1113	3.499082355
1114	1114	5.379115514
1115	1115	5.986440915
1116	1116	6.778259407
1117	1117	5.530967215
1118	1118	6.254857385
1119	1119	7.215670452
1120	1120	6.774791751
1121	1121	9.343091977
1122	1122	7.704510026
1123	1123	4.490398431
1124	1124	7.308824594
1125	1125	6.503046007
1126	1126	4.419228628
1127	1127	5.108257002
1128	1128	4.221031894
1129	1129	6.792789278
1130	1130	5.274964192
1131	1131	6.907481918
1132	1132	4.432046846
1133	1133	7.258275212
1134	1134	7.333912078
1135	1135	7.159089325
1136	1136	6.381597202
1137	1137	4.862449344
1138	1138	6.123477813
1139	1139	4.891448087
1140	1140	6.964156628
1141	1141	10.23051482
1142	1142	4.358214641
1143	1143	5.474280237
1144	1144	10.93979372
1145	1145	4.376321357
1146	1146	8.335929813
1147	1147	5.697918596
1148	1148	4.476186013
1149	1149	5.054482115
1150	1150	7.886438999
1151	1151	6.484608879
1152	1152	5.653718412
1153	1153	6.662264401
1154	1154	8.860227179
1155	1155	5.600157182
1156	1156	6.800888601
1157	1157	7.137640407
1158	1158	5.35576389
1159	1159	10.1986874
1160	1160	4.443463201
1161	1161	5.651764807
1162	1162	6.642484197
1163	1163	9.055302274
1164	1164	4.947614107
1165	1165	6.538699218
1166	1166	6.324535782
1167	1167	5.096423477
1168	1168	4.795746133
1169	1169	6.134792384
1170	1170	6.389370903
1171	1171	5.995354205
1172	1172	5.877558244
1173	1173	5.606679377
1174	1174	7.102231422
1175	1175	6.777682195
1176	1176	4.742201188
