FID	IID	GS451_IC50
1001	1001	5.594255712
1002	1002	8.52563251
1003	1003	12.7367394
1004	1004	12.17520147
1005	1005	9.93674223
1006	1006	9.16348291
1007	1007	11.0675103
1008	1008	9.388757402
1009	1009	3.238702498
1010	1010	7.410126906
1011	1011	8.247488725
1012	1012	7.410126906
1013	1013	4.562876989
1014	1014	7.51073731
1015	1015	3.65872649
1016	1016	8.521603171
1017	1017	12.31573863
1018	1018	2.931132591
1019	1019	6.90646442
1020	1020	NA
1021	1021	4.691692501
1022	1022	6.18448709
1023	1023	5.865317681
1024	1024	4.306711194
1025	1025	3.067151991
1026	1026	7.381921779
1027	1027	5.705977193
1028	1028	3.885954612
1029	1029	4.46312131
1030	1030	7.170078283
1031	1031	4.703169902
1032	1032	3.993402611
1033	1033	4.700972107
1034	1034	3.965807993
1035	1035	4.60695511
1036	1036	7.137477588
1037	1037	5.047736112
1038	1038	3.889007105
1039	1039	8.920259686
1040	1040	5.829908701
1041	1041	7.577281787
1042	1042	4.776063607
1043	1043	6.941629188
1044	1044	4.4533533
1045	1045	5.083755584
1046	1046	4.825147786
1047	1047	5.767271381
1048	1048	4.749079511
1049	1049	3.548958589
1050	1050	4.747125893
1051	1051	5.008175713
1052	1052	2.804881206
1053	1053	8.357378699
1054	1054	7.660187684
1055	1055	9.445289724
1056	1056	4.902437101
1057	1057	6.295475984
1058	1058	9.243824698
1059	1059	3.940655387
1060	1060	11.82929222
1061	1061	4.997308803
1062	1062	4.065563703
1063	1063	5.516600091
1064	1064	8.295840293
1065	1065	7.084852513
1066	1066	5.460312007
1067	1067	3.751278307
1068	1068	9.09339751
1069	1069	4.883633688
1070	1070	9.058598998
1071	1071	11.88521396
1072	1072	11.57630097
1073	1073	9.133446294
1074	1074	5.2341828
1075	1075	9.363116381
1076	1076	3.987053407
1077	1077	13.19131771
1078	1078	3.170448606
1079	1079	9.211101887
1080	1080	10.75713207
1081	1081	8.767878889
1082	1082	10.43014833
1083	1083	9.123922489
1084	1084	7.665438006
1085	1085	10.32440969
1086	1086	11.36225972
1087	1087	7.354205091
1088	1088	5.117943606
1089	1089	10.15456857
1090	1090	4.935037784
1091	1091	9.039673531
1092	1092	6.133034176
1093	1093	7.078695172
1094	1094	7.278869406
1095	1095	5.673498614
1096	1096	4.610251804
1097	1097	8.096369599
1098	1098	3.208521611
1099	1099	7.794701202
1100	1100	4.96059739
1101	1101	5.758654631
1102	1102	5.081208945
1103	1103	3.864953402
1104	1104	6.129745603
1105	1105	3.267721611
1106	1106	6.600848107
1107	1107	6.070616643
1108	1108	4.196973839
1109	1109	2.623257446
1110	1110	7.708234064
1111	1111	3.890380729
1112	1112	6.201092717
1113	1113	2.794380597
1114	1114	5.36943471
1115	1115	5.518187394
1116	1116	6.498711442
1117	1117	4.940898607
1118	1118	6.049647996
1119	1119	6.552374382
1120	1120	6.291202502
1121	1121	8.697060924
1122	1122	6.260708022
1123	1123	5.058602999
1124	1124	5.726673136
1125	1125	6.786952897
1126	1126	3.563366389
1127	1127	5.009925814
1128	1128	4.007047274
1129	1129	4.981679993
1130	1130	5.078057604
1131	1131	6.73090904
1132	1132	3.940899587
1133	1133	7.152699392
1134	1134	7.950785674
1135	1135	9.203470669
1136	1136	6.339106387
1137	1137	4.656614912
1138	1138	5.682941012
1139	1139	5.518065304
1140	1140	8.480699707
1141	1141	10.04581823
1142	1142	3.504130466
1143	1143	4.950666584
1144	1144	11.63112387
1145	1145	2.9838798
1146	1146	7.946593576
1147	1147	5.351561582
1148	1148	4.104757805
1149	1149	4.864382615
1150	1150	8.276263626
1151	1151	6.744193503
1152	1152	5.150503597
1153	1153	6.148223413
1154	1154	8.020097805
1155	1155	5.988842205
1156	1156	6.799667591
1157	1157	5.908419004
1158	1158	5.506872783
1159	1159	10.50393742
1160	1160	4.499446037
1161	1161	5.71885874
1162	1162	6.658357208
1163	1163	7.364827785
1164	1164	4.714036798
1165	1165	7.119528897
1166	1166	5.666905209
1167	1167	4.073866489
1168	1168	4.614940446
1169	1169	7.48790458
1170	1170	7.312080587
1171	1171	6.299301791
1172	1172	5.724617818
1173	1173	5.603923807
1174	1174	7.064705985
1175	1175	6.715906991
1176	1176	5.001551766
